Player,Team,PA,BA,OBP,SLG,OPS,HR,SB,ISO,HR_rate,GAP_rate,SB_rate,BB_rate,SO_rate,Cluster,Hitter_Type
Jarren Duran,BOS,696.0,0.256,0.332,0.442,0.774,16.0,24.0,0.186,0.0229885057471264,0.0775862068965517,0.0344827586206896,0.0862068965517241,0.2428160919540229,2,교타·스피드형
Heliot Ramos,SFG,695.0,0.256,0.328,0.4,0.728,21.0,6.0,0.144,0.0302158273381294,0.0359712230215827,0.0086330935251798,0.074820143884892,0.2273381294964029,3,저타율 장타형
Steven Kwan,CLE,693.0,0.272,0.33,0.374,0.705,11.0,21.0,0.1019999999999999,0.0158730158730158,0.0432900432900432,0.0303030303030303,0.0793650793650793,0.0865800865800865,2,교타·스피드형
Fernando Tatis Jr.,SDP,691.0,0.268,0.368,0.446,0.814,25.0,32.0,0.178,0.0361794500723589,0.0419681620839363,0.0463096960926193,0.1287988422575977,0.1866859623733719,1,거포형
James Wood,WSN,689.0,0.256,0.35,0.475,0.825,31.0,15.0,0.2189999999999999,0.0449927431059506,0.0551523947750362,0.0217706821480406,0.1233671988388969,0.320754716981132,1,거포형
Bobby Witt Jr.,KCR,687.0,0.295,0.351,0.501,0.852,23.0,38.0,0.206,0.0334788937409024,0.0771470160116448,0.0553129548762736,0.0713245997088791,0.1819505094614265,2,교타·스피드형
Willy Adames,SFG,686.0,0.225,0.318,0.421,0.74,30.0,12.0,0.1959999999999999,0.0437317784256559,0.0349854227405247,0.0174927113702623,0.1166180758017492,0.260932944606414,1,거포형
TJ Friedl,CIN,685.0,0.261,0.364,0.378,0.742,14.0,12.0,0.1169999999999999,0.0204379562043795,0.0350364963503649,0.0175182481751824,0.1182481751824817,0.1678832116788321,2,교타·스피드형
Vinnie Pasquantino,KCR,682.0,0.264,0.323,0.475,0.798,32.0,1.0,0.2109999999999999,0.0469208211143695,0.0498533724340175,0.001466275659824,0.0718475073313783,0.156891495601173,1,거포형
Vladimir Guerrero Jr.,TOR,680.0,0.292,0.381,0.467,0.848,23.0,6.0,0.175,0.0338235294117647,0.05,0.0088235294117647,0.1191176470588235,0.138235294117647,1,거포형
Aaron Judge,NYY,679.0,0.331,0.457,0.688,1.144,53.0,12.0,0.3569999999999999,0.0780559646539028,0.0471281296023564,0.0176730486008836,0.182621502209131,0.235640648011782,1,거포형
Manny Machado,SDP,678.0,0.275,0.335,0.46,0.795,27.0,14.0,0.185,0.0398230088495575,0.0486725663716814,0.0206489675516224,0.0811209439528023,0.1932153392330383,1,거포형
Luis Arraez,SDP,675.0,0.292,0.327,0.392,0.719,8.0,11.0,0.1,0.0118518518518518,0.0503703703703703,0.0162962962962962,0.0503703703703703,0.0311111111111111,2,교타·스피드형
Jos? Ram?rez,CLE,673.0,0.283,0.36,0.503,0.863,30.0,44.0,0.22,0.0445765230312035,0.0549777117384844,0.0653789004457652,0.0980683506686478,0.1099554234769688,2,교타·스피드형
Ozzie Albies,ATL,667.0,0.24,0.306,0.365,0.671,16.0,14.0,0.125,0.0239880059970015,0.0374812593703148,0.0209895052473763,0.0824587706146926,0.1409295352323838,0,저타율·저장타형
Maikel Garcia,KCR,666.0,0.286,0.351,0.449,0.8,16.0,23.0,0.163,0.024024024024024,0.066066066066066,0.0345345345345345,0.093093093093093,0.1261261261261261,2,교타·스피드형
